Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
R83;10kB;ALPS_POT_VERTICAL;197.7136;-137.17675;180.0;top
R84;10kB;ALPS_POT_VERTICAL;210.7311;-137.17675;180.0;top
R85;10kB;ALPS_POT_VERTICAL;223.7486;-137.17675;180.0;top
R86;36k;R0603;87.8586;-144.3736;180.0;top
R87;6.8k;R0603;91.9861;-145.0086;90.0;top
R88;1.0k;R0603;78.6511;-155.1686;90.0;top
R89;1.0k;R0603;90.7161;-155.1686;90.0;top
SW1;SW_MEC_5G_2LED;C&K_D6R;79.146513;-84.3661;0.0;top
SW2;EVQQ2;k2-1808 pushbutton switch;226.2232;-94.2885;180.0;top
SW3;EVQQ2;k2-1808 pushbutton switch;226.1482;-98.3596;180.0;top
TP1;ADC_TEST;PAD.03X.03;184.3786;-77.6986;0.0;top
U1;WM8731CLSEFL;QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm;163.0;-112.5;-135.0;top
